Date : 2021-11-05 18:59:41
Directory : /Users/brunopaula/Desktop/fmb/website/fmb
Total : 509 files,  100797 codes, 1651 comments, 4578 blanks, all 107026 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12features4.js   | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12hero12.js      | JavaScript       |         46 |          0 |          3 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12newsletter2.js | JavaScript       |         53 |          0 |          2 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12projects2.js   | JavaScript       |        208 |          0 |          3 |        211 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content2.js    | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content3.js    | JavaScript       |        122 |          0 |          2 |        124 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content5.js    | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content9.js    | JavaScript       |         35 |          0 |          3 |         38 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13cta6.js        | JavaScript       |         49 |          0 |          2 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13features1.js   | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13features4.js   | JavaScript       |        148 |          0 |          2 |        150 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13hero13.js      | JavaScript       |         55 |          0 |          3 |         58 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13pricing3.js    | JavaScript       |        202 |          0 |          2 |        204 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13projects2.js   | JavaScript       |        208 |          0 |          3 |        211 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13reviews1.js    | JavaScript       |        399 |          0 |          4 |        403 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13statistic1.js  | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content1.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content10.js   | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content2.js    | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content3.js    | JavaScript       |        109 |          0 |          2 |        111 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content4.js    | JavaScript       |         70 |          6 |          2 |         78 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14content7.js    | JavaScript       |         63 |          0 |          2 |         65 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14features4.js   | JavaScript       |        163 |          0 |          2 |        165 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14features8.js   | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14hero14.js      | JavaScript       |         56 |          6 |          2 |         64 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14pricing1.js    | JavaScript       |        121 |          0 |          2 |        123 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo14/Demo14statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15blog1.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15brands1.js     | JavaScript       |        133 |          0 |          3 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15content2.js    | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15content3.js    | JavaScript       |        123 |          0 |          2 |        125 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15content5.js    | JavaScript       |         61 |          0 |          2 |         63 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15content9.js    | JavaScript       |         37 |          0 |          3 |         40 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15cta11.js       | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15features5.js   | JavaScript       |         78 |          0 |          2 |         80 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15features7.js   | JavaScript       |        105 |          0 |          2 |        107 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15hero15.js      | JavaScript       |         46 |          0 |          3 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15projects2.js   | JavaScript       |        208 |          0 |          2 |        210 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15reviews2.js    | JavaScript       |        164 |          0 |          2 |        166 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo15/Demo15statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content1.js    | JavaScript       |         51 |          0 |          2 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content10.js   | JavaScript       |         64 |          0 |          3 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content2.js    | JavaScript       |         51 |          0 |          2 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content3.js    | JavaScript       |        138 |          0 |          2 |        140 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content5.js    | JavaScript       |         82 |          6 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16content9.js    | JavaScript       |         37 |          0 |          3 |         40 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16features4.js   | JavaScript       |        104 |          0 |          2 |        106 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16hero16.js      | JavaScript       |         73 |          6 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16reviews4.js    | JavaScript       |        375 |          0 |          3 |        378 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo16/Demo16statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17brands1.js     | JavaScript       |        133 |          0 |          3 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17content10.js   | JavaScript       |         64 |          0 |          3 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17content2.js    | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17content2a.js   | JavaScript       |         55 |          0 |          2 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17content3.js    | JavaScript       |        134 |          0 |          2 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17content9.js    | JavaScript       |         32 |          0 |          3 |         35 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17cta9.js        | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17hero17.js      | JavaScript       |         81 |          0 |          2 |         83 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo17/Demo17statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content1.js    | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content10.js   | JavaScript       |         58 |          0 |          3 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content2.js    | JavaScript       |         80 |          0 |          2 |         82 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content3.js    | JavaScript       |        106 |          0 |          2 |        108 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content5.js    | JavaScript       |         54 |          0 |          2 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18content6.js    | JavaScript       |         45 |          0 |          2 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18cta1.js        | JavaScript       |         40 |          0 |          2 |         42 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18features1.js   | JavaScript       |        106 |          0 |          2 |        108 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18features4.js   | JavaScript       |        164 |          0 |          2 |        166 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18hero18.js      | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18pricing3.js    | JavaScript       |        202 |          0 |          2 |        204 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18reviews3.js    | JavaScript       |        120 |          0 |          2 |        122 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo18/Demo18statistic4.js  | JavaScript       |         71 |          0 |          3 |         74 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19brands1.js     | JavaScript       |        124 |          0 |          3 |        127 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content1.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content10.js   | JavaScript       |         46 |          0 |          3 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content2.js    | JavaScript       |         51 |          0 |          2 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content2a.js   | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content3.js    | JavaScript       |        121 |          0 |          2 |        123 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content5.js    | JavaScript       |         56 |          0 |          2 |         58 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19content6.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19cta3.js        | JavaScript       |         42 |          0 |          2 |         44 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19features4.js   | JavaScript       |        104 |          0 |          2 |        106 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19hero19.js      | JavaScript       |         68 |          0 |          2 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo19/Demo19statistic3.js  | JavaScript       |         78 |          0 |          3 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2blog1.js         | JavaScript       |        146 |          0 |          3 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content1.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content10.js     | JavaScript       |         61 |          0 |          3 |         64 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content2.js      | JavaScript       |         51 |          0 |          2 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content3.js      | JavaScript       |        139 |          0 |          3 |        142 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content4.js      | JavaScript       |         74 |          6 |          2 |         82 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content5.js      | JavaScript       |         51 |          0 |          4 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2faqs2.js         | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2features4.js     | JavaScript       |        204 |          0 |          4 |        208 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2features8.js     | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2newsletter2.js   | JavaScript       |         53 |          0 |          2 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2reviews4.js      | JavaScript       |        343 |          0 |          2 |        345 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo2/Demo2statistic2.js    | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content1.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content10.js   | JavaScript       |         40 |          0 |          2 |         42 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content2.js    | JavaScript       |         51 |          0 |          2 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content3.js    | JavaScript       |        123 |          0 |          2 |        125 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content6.js    | JavaScript       |         43 |          0 |          2 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20content7.js    | JavaScript       |         52 |          0 |          2 |         54 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20cta3.js        | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20features2.js   | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20features4.js   | JavaScript       |        191 |          0 |          2 |        193 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20hero20.js      | JavaScript       |         42 |          0 |          3 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20reviews4.js    | JavaScript       |        372 |          0 |          3 |        375 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo20/Demo20statistic4.js  | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21blog1.js       | JavaScript       |        146 |          0 |          3 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21brands1.js     | JavaScript       |        133 |          0 |          3 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21content2.js    | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21content2a.js   | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21content5.js    | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21content7.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21content9.js    | JavaScript       |         25 |          0 |          3 |         28 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21cta11.js       | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21hero21.js      | JavaScript       |         68 |          0 |          2 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21newsletter2.js | JavaScript       |         53 |          0 |          2 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21projects2.js   | JavaScript       |        208 |          0 |          2 |        210 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21statistic1.js  | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo21/Demo21tabs2.js       | JavaScript       |         83 |          0 |          2 |         85 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22brands1.js     | JavaScript       |        133 |          0 |          3 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22content2.js    | JavaScript       |         55 |          0 |          3 |         58 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22content3.js    | JavaScript       |        176 |          0 |          3 |        179 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22content7.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22cta3.js        | JavaScript       |         42 |          0 |          2 |         44 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22features8.js   | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22hero22.js      | JavaScript       |         49 |          0 |          2 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo22/Demo22statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23content2a.js   | JavaScript       |         55 |          0 |          2 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23content3.js    | JavaScript       |        159 |          0 |          3 |        162 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23content7.js    | JavaScript       |         71 |          0 |          2 |         73 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23cta11.js       | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23hero23.js      | JavaScript       |         42 |          0 |          3 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23projects2.js   | JavaScript       |        208 |          0 |          2 |        210 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23statistic3.js  | JavaScript       |         77 |          0 |          3 |         80 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo23/Demo23statistic4.js  | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24brands2.js     | JavaScript       |        147 |          0 |          2 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24content10.js   | JavaScript       |         33 |          0 |          3 |         36 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24content2.js    | JavaScript       |         83 |          0 |          3 |         86 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24content3.js    | JavaScript       |        168 |          0 |          3 |        171 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24content7.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24cta11.js       | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24faqs2.js       | JavaScript       |        158 |          0 |          2 |        160 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24features4.js   | JavaScript       |        154 |          0 |          2 |        156 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24features8.js   | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24hero6.js       | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24pricing2.js    | JavaScript       |        234 |          0 |          2 |        236 |
